text,label
ippo mansilai e padam 8 nilayil pottum,Not_offensive
Semma voice.  ..Iam Tamil Nadu,not-malayalam
Adar Trailer ......summer mass entertainer thanne aayirikum enn pratheekshikunnu......,Not_offensive
Richie orma vanathu eniku mathram ano,Not_offensive
Ningalkarkum commercile pillere ariyillie mech,Not_offensive
Kalkikku malayalathinte dhathuputhran alluarjun fansite vijayaashamsakal,Not_offensive
Fahad shane soubin baasi  kidu team,Not_offensive
Whatsapp status ലെ പോലെ ആ triangal എഫക്ട് വന്നിലെങ്കിൽ ടീസർ ഒരു  ഒരു വൃത്തി ഉണ്ടയെന്നെ...,Not_offensive
Soubin achanod vazhakakakunu...achanu sahayathinu robotine soubin set akunu...robotinte koode jeevikuna achan parishkari akunu...achanum makanum onnikunu...subham,Not_offensive
Shariya killi chundan thanne sreenivasan enthei hajiyar,Not_offensive
Mangeettu moongeetu povaan shenoyi vere janikanam,Not_offensive
Malayalam film industry il vere aarkku pattum iddehathe pole aakan. Pakaram vekkan aarumillatha one and only Lalettan,Not_offensive
1 week kayinjal edenkilum channelil kanam,Not_offensive
Tovinooo tovinoo....... tovinooo tovinoooo masss..kkaa... valliyappaaa.....,Not_offensive
കിടു  കിടുവേ....  ഇനി വന്നങ്ങ് അടിച്ചു പൊളിച്ചാൽ മതി,Not_offensive
Lalettan massaaa verum Mass Alla kolamass lalettan ki jaiiii,Not_offensive
പൊറിഞ്ചുവും മറിയവും ജോസും  ജോഷി സാറിന്റെ  ഒപ്പം കൂടി ഒരു  തൃശൂർ  പൂരമാണ് ഒരിക്കിയിരിക്കുന്നത്  എന്നു ഇതു കണ്ടപ്പോൾ manasilayi,Not_offensive
Ithippo enthinulla purappadanavo randalum koodi Suraj  Soubi,Not_offensive
bhasi machan  und..ath mathram mathi...padam .pwolikum,Not_offensive
Cinema kanditum idakku idakku keri trailer kanund,Not_offensive
ജിമിട്ടൊളികൾ ഇപ്പോളെ unlike അടിച്ചു തുടങ്ങി  അസുരൻ loading..,Offensive_target_insult_Group
Muriyandikal pannikuutatam pole thurimezhukuvansllooscenes are rememmbering pulimurugan,Offensive_target_insult_Group
Nth bhashayado ith vech ketti malabr bhasha samsarikkunnu. Mohanlal malabarine kaliyakkunnu,Offensive_target_insult_individual
Mere naam ka kachra karo sab mil k,not-malayalam
50 pathu pravasham kandavar adi like,Not_offensive
Padam kandavarkku like aam Mass ka baap,Not_offensive
മിഥുൻ  comedy ഇല്ലാതെ പടം,Not_offensive
Ithu......kaanumbol 2016-il irangiya...... Shahrukh Khan abhinayicha hindi movie faninte oru cheriya cut undo ennu oru samshayam......,Not_offensive
Late ayappo excitment koodyavar like adi,Not_offensive
എന്റെ പൊന്നോ... വെറും mass അല്ല.... മരണ മാസ്സ്.  A  NEW FACE OF FACE OF INDIAN CINEMA,Not_offensive
Eee filim pakuthiyum njangade avida shooting market polii poliii Kottayam daaaa,Not_offensive
Nivin variety ആള് ആണ് nivin pauly ഉയിരാണ്,Not_offensive
Ithu poloru movie malayalathil kaanan orupaadu agrahichirunu pakshae aenokae Different konduvanitundo apozhokae malayali thatimaatiyitundu ithu athu polaavathirikatae new gen moviekarum youthum kungfuyae ishtapeduna aelaavarum movie theatril thanae poyi kandaal mathiyayirunu all the best,Not_offensive
കണ്ടു നോക്ക്..  ജാക്‌സ്പാരോ ആണ് വില്ലൻ എന്ന് ഉറപ്പായി,Not_offensive
1:52 mass level  Fdfs urappichavar like adikku,Not_offensive
Suraj venjaramood  Big fan from tamilnadu...  Adi poli acting,Not_offensive
Katta waiting madura raja mammokka kidu mass,Not_offensive
Duper hit aavatte  Mammookka,Not_offensive
Undayude trailer june 20 shesham kanunnavrundo,Not_offensive
#L kandatt iniyum inyum kaananm enne thonnunnavar undo ividea...,Not_offensive
ആരോ ഒരാളല്ല.. എന്റെ ഏട്ടൻ... my big brother,Not_offensive
നന്മ മരം ഇനിയില്ല .. ഫിറോസ് കുന്നംപറമ്പിൽ ചാരിറ്റി പ്രവർത്തനം അവസാനിപ്പിച്ചു . Firos kunnumparambil,Not_offensive
ഇതിനും കയറി dialiko എന്തുവാടെ.... നിന്റെ ഒക്കെ നിലവാരം..... ikka,Not_offensive
ഈ നല്ല സിനിമ മലയാളത്തിനു സമ്മാനിച്ച പ്രിയ കലാകാരന്മാർക്  എന്റെ ഹൃദയം നിറഞ്ഞ നന്ദി അറീക്കുന്നു,Not_offensive
Ee vishuvinu Madhura Rajayude oru Madhura കണി....  By a Lalettan Fan,Not_offensive
ഈ ഓണം ഇട്ടിമാണി എടുത്തു കഴിഞ്ഞു. ഇനി 6ആം തീയതി ഇട്ടിച്ചന്റെ വക പൂരം,Not_offensive
Varav kandit padam 8 nilayil pottunna thonnane,Not_offensive
ഇത് കണ്ടാലേ അറിയാം സൂപ്പർ മൂവി ആണെന്ന്,Not_offensive
Trailer il thanne full story undallo! Padam kidilan aakatte🤓,Not_offensive
മമ്മൂക്ക യുടെ ഒരു 150+ movie കണ്ടിട്ടുണ്ടാകും ഒന്നിലും ഇങ്ങനെ ഒരു കൊലച്ചിരി കണ്ടിട്ടില്ല,Not_offensive
I am waiting for kappan Moganla and Surya,not-malayalam
Lift il kudungi rakshapedunnath ano kadha yenn thoniyavar like adiche,Not_offensive
Evdeyoo Slum dog millionaire movie saamyam like,Not_offensive
LUCIFER KI JAY  LALLETTAN POLICHU MASS  VERUM  MASSALA  MARANA MASS LOVE  YOU LALLETTAAAAA,Not_offensive
#NiViN PauLy   GEETU  MOHANDAS  🤩#pOLiee kiDDuu 🥰,Not_offensive
ikkaude MADHURARAJAKKU  VIJAY FANS KANJIRAPPALLY UDE ELLA AASHAMSAKALUM,Not_offensive
നമ്മുടെ മലയാളം സിനിമ മൊത്തം ഇപ്പോൾ വേറെ ലെവൽ ആയി..  ക്ലാസിനു ക്ലാസ്സ്‌..  മാസിനു മാസ്സ്.  മരണമാസിനു  മരണ മാസ്.. ഹോ കാണാൻ കൊതിയായിട്ട് പാടില്ല..,Not_offensive
Abrid shine  ഇത് മലയാളത്തിൽ ഒരു milestone ആവട്ടെ.... ആശംസകൾ,Not_offensive
Ente ammoo.... Aaa super man punch undallo ...Ijjathi item.....,Not_offensive
മാമാങ്കം എന്ന കേരളത്തിന്റെ ചരിത്രം,Not_offensive
ഇതുവരെ 2.1 k പൂജപ്പുര മച്ചാൻസ് ടീസർ കണ്ടു  .. enjoy..Enjoy..,Not_offensive
എന്ത് ട്രാക്ക് ആണല്ലേ? That's so real man...,Not_offensive
Super film adipoli njhan theatre povaan vaashi pidicha supermfilm ishtappettavarkk like,Not_offensive
Vineeth sreenivasan presents ,Not_offensive
Raja 100cr adikkumenn urappullavar like adikk,Not_offensive
MALAYALAM DJ REMIX NEW NON STOP EVERGREENSONGS PSY TRANCE MIX SONGS BY DJ NIGHT,not-malayalam
ഇസത് അല്ല ലാലേട്ടാ  Izzath... അത് അറബി വേർഡ് ആണ്.. അത് പറയാനും കൊറച്ചു izzath venm,Not_offensive
Trailer കാണാൻ വേണ്ടി urakathe kathe ninvar ലൈക്‌ adi,Not_offensive
ആരും  കണ്ടേക്കരുതേ,Offensive_target_insult_Group
Ithanu.. Makkale nammal kanan aagrahicha ettan,Not_offensive
പച്ചയായ പടം ആയിരിക്കും   മൂത്തോൻ,Not_offensive
ചാക്കോച്ചൻ മിഥുൻമാനുൽ കൂട്ടുകെട്ട് ഇത് പൊളിക്കും,Not_offensive
Prithvi director.... Lalettan nayakan... But trailer teaser nte athra vannilla... Trailer kandappoo... Murali gopi aannalloo kadha nu veendum ormipichuuu... Pratheeksha poyi,Not_offensive
Lucifer 4 divasam kondu 50 kodi ayathu pole ....ithum 50 kodi avatte ennu njan prarthikkunnu...ennu lalettan fan,Not_offensive
oru rakshayum illa. kidu padam thane. ethra kandittum mathiyakunnilla,Not_offensive
SRK ഇഹ്  FAN ഇഹ് സിനിമ ഇഹ് പോലുണ്ട് ഇഹ് ഇഹ്..,Not_offensive
#fan srk  movie pole und...,Not_offensive
എന്തു പേടിയാണ് മക്കളെ . ട്രെയിലർ വരുന്നതിന് മുമ്പ് തന്നെ  ഡിസ്‌ലൈക്ക് അടിക്കാൻ,Not_offensive
Likeum illa...Dislike um illa... Lalettan ishtam mathram,Not_offensive
11million aayo enn nokaan varunnavarundo ??,Not_offensive
സുരാജേട്ടന് കോമഡി മാത്രമല്ല സീരിയസ് റോളുകളും വഴങ്ങുമെന്ന് പുള്ളി വീണ്ടും വീണ്ടും തെളിയിച്ചു കൊണ്ടിരിക്കുവാണല്ലോ,Not_offensive
arokee ningaldee comentsnu etraa like kittenu nokkan vannu,Not_offensive
Srk ടെ fan മൂവി പോലെ ഉണ്ടല്ലോ,Not_offensive
Trailer kanditu hit aakumaenonum paeayunila pakshae Suraajaetantae Abhinayam kidukum,Not_offensive
Thrissur pooram trailer  hidden details,not-malayalam
മഞ്ജു ചേച്ചിക്ക് പറ്റിയ bold role.. പണ്ട് കാണുന്ന പോലെ തന്നെ..FDFS കണ്ടിരിക്കും..  മഞ്ജു ചേച്ചി,Not_offensive
Against കമ്മീസ്,Not_offensive
Iyyalkke rest cheyyanulla time aayilla.. kanda oola padagalilellam abinayiche vila poi paavam..,Offensive_target_insult_individual
You tube hang ayo ??? 34K views change avunnilalo 🤔🤔🤔,Not_offensive
oru moideenum  katinintavila odiyan vendi,Not_offensive
ഇതെന്താ വല്ല 2003ൽ ഷൂട്ടിംഗ് കഴിഞ്ഞ പടം ആണോ... what an outdated making🤮,Not_offensive
Enna friendship day ku oru cake vangich kodk,Not_offensive
Ejjathi level sadhanam ishttappettavar like adik🥰,Not_offensive
Oru kidukaachi entertainer aakumennu vishwasam....lalettan polichu...,Not_offensive
2/5/2019_ samayam : 7:24pm aarokke kaanunnu trailer..,Not_offensive
Bgm okke powli.... But poster kond undakiya oru roomajam teaserinu tharaan kazhinjilla..... Endhokayo suspence und enn manasilayi......... Waiting,Not_offensive
ettante mattoru vismayamakum big brother ...  laletta muthe......,Not_offensive
Mohanlal da ....  Vera evan da   Love you thalaiva mohanlal sir   Frm tamilnadu,not-malayalam
Neeyoke kuru pottich irunno.Njangal munnot Thane pogum. Neeyoke koodi ividam pachaakan kure nokiyadhalle.poyi oomp,Offensive_target_insult_Group
ororo pattikaathangal rajyam nashipikkum,Offensive_target_insult_Group
ith enth myranenn manasilavatha vere oru pookutti vanam nee,Offensive_target_insult_individual
എല്ലാം മൈരന്മാർ തന്നെ ,Offensive_target_insult_Group
കൊറേ വാങ്ങൽ ഉണ്ട് ഇ പോസ്റ്റ് ഇട്ടതിനു അടിയിൽ വന്നു കമന്റ് ഇടുന്നു ആ സിനിമ ആൺ പൊളി ഇ സിനിമ ആണ് പൊളി എന്നൊക്കെ എന്ത് വാങ്ങൽ ആവൊ എന്തോ 😂,Offensive_target_insult_Group
അവസാനത്തെ ആപ്രികോട് മൈരൻ ഏതാ ?,Offensive_target_insult_individual
Ediii thett pattiyitt erangi podii kona adikkathe,Offensive_target_insult_individual
Oombichu vagiya recod,Offensive_target_insult_individual
പറ്റുന്ന പണിക്ക് പോയാൽ പോരെ അഞ്ച് പൈസക്ക് കൊള്ളില്ല,Offensive_target_insult_individual
സത്യം പറഞ്ഞ ഒരു കിളവിയെ പോലെ ഉണ്ട്‌.,Offensive_target_insult_individual
ഈ പൂകുറ്റി vanangale തോറ്റു ,Offensive_target_insult_Group
നാണം കെട്ട ഒരു ജന്മം,Offensive_target_insult_individual
ഈ നടിയെ പണ്ടേ ഇഷ്ടമല്ല വീണ്ടും വന്നു അഹങ്കാരി,Offensive_target_insult_individual
Boche enna Thantha illathavan,Offensive_target_insult_individual
enthu kuthra padam aado,Offensive_target_insult_Group
അയാൾ പറഞ്ഞു കൊടുത്തിട്ട് തന്നെ ആണ്.. ബബ്ബ അടിക്കുന്നത് കണ്ടില്ലേ മലരൻ,Offensive_target_insult_individual
കഴപ്പ് കാണിച്ചിട്ട് മനുഷ്യൻ എന്നോ... അടിച്ച കാരണം പൊട്ടിക്കണം പൂണ്ടാക്കി മക്കളുടെ ,Offensive_target_insult_Group
admin sudappi aane,Offensive_target_insult_Group
admin vaanam kgf fan aane,Offensive_target_insult_Group
naaya cheenju chatt pokatte,Offensive_target_insult_individual
കുന്ദൻ എടൊ താൻ,Offensive_target_insult_individual
അണ്ടി സുരു,Offensive_target_insult_individual
koothichi...enitt nee chattilalo myre,Offensive_target_insult_individual
നശിച്ചു പോട്ടെ ദുഷ്ടത്തി,Offensive_target_insult_individual
നമ്മുടെ നടിമാരെല്ലാം തുണി ഇല്ലാതെ വരട്ടെ ,Offensive_target_insult_Group
തങ്കൻ ചേട്ടന്റെ അണ്ടി ,Offensive_target_insult_individual
അങ്ങോട്ട് സഹിക്കാൻ പറ്റുന്നില്ല അല്ലിയോടോ പാണ്ടി കരിമ്പാറ പൊലയാടി മോനെ ,Offensive_target_insult_individual
എടാ അഡ്മിൻ പൂണ്ട നിന്റെയൊക്കെ ഇടതുപക്ഷം എന്തെ ? പുതിയ ചിഹ്നം നോക്കി എടുക്കാനുള്ള തിരക്കിലായിരിക്കും അല്ലെ ? ,Offensive_target_insult_Group
നായിന്റെ മോൾ തൂഫ് 😡😡,Offensive_target_insult_individual
umbiya padam,Offensive_target_insult_Group
ആ രണ്ടു മൈരുകളുടെ വായിൽ പഴം ആണോ ? 😂,Offensive_target_insult_individual
poda punde,Offensive_target_insult_individual
Myr....kandu poyi,Offensive_target_insult_Group
Chanakam alla ninte ammede poor,Offensive_target_insult_individual
കള്ളാ നായിന്റെ മോൾ ,Offensive_target_insult_individual
Theetta padam,Offensive_target_insult_Group
കാക്ക മൈരേ അഭിനയം കുണ്ടി വരെ ടച്ച് ചെയ്തു മൈര് 😂😂😂😂😂,Offensive_target_insult_Group
ഊമ്പിയ സംസാരം കേക്കുമ്പോ തന്നെ ടൂറി എറിയാൻതൊന്നും 🤢🤢🤢,Offensive_target_insult_individual
Uff arabi myran ,Offensive_target_insult_individual
കുണ്ടി ധ്വരം വികസിച്ചു. 💀🙏 ശബരിമല മുരക ,Offensive_Untargetede
മൈര് അടിച്ചു അണ്ണാക്കിൽ കൊടുത്തിട്ടുണ്ട് 😆😆,Offensive_target_insult_individual
ee naaya urakkam ayirunnu ticket eduthu Ac il kedannu orangi,Offensive_target_insult_individual
മൈര് നജ്ൻ പോൺ സഹിക്കാൻ വയ്യ ,Offensive_target_insult_individual
വീട്ടിൽ പോയി ഉറാങ് മൈരേ ,Offensive_target_insult_individual
നീയൊരു കഴുവേറി തന്നെ ,Offensive_target_insult_individual
ramante andi,Offensive_target_insult_individual
എല്ലാം കാണിച്ചിട്ട് അവസാനം കോനകുന്നു 😂,Offensive_target_insult_individual
കേരളത്തിലെ ഒരു നാണവും ഇല്ലാത്ത സ്ത്രീ 🤣,Offensive_target_insult_individual
shavam 😏😏😏,Offensive_target_insult_individual
നാണം ഇല്ലാത്തവൾ,Offensive_target_insult_individual
"മുലയും, ചന്ദിയും എല്ലാം ഡ്യൂപ്ലിക്കേറ്റ് ",Offensive_target_insult_individual
ഫആ... ചെറ്റേ .... തുപ്...🤮🤮🤮.. കണ്ടു പോയി ,Offensive_target_insult_individual
Amerikkayilninnum ketti eduthayhu nattukare oombikkananodi,Offensive_target_insult_individual
Pariiii myr,Offensive_target_insult_Group
കുന്തി ദേവി ,Offensive_target_insult_individual
Pavada myrukal vannilley ijjathi oombanmar,Offensive_target_insult_Group
Diiii....ശവമേ 😡,Offensive_target_insult_individual
Mazahavil fundakal,Offensive_target_insult_Group
Mazavil myrollleeeeeeeee🏳️‍🌈,Offensive_target_insult_Group
ലാലേട്ടനെ മാർഗം കളി പഠിപ്പിച്ചത് നമ്മുടെ സ്വാസിക ചേച്ചി ആണ്...,Not_offensive
ഇരുട്ടിന്റെ ആയുസ് സൂര്യൻ ഉദിക്കുന്നത് വരെ യൊള്ളു ലാലേ  കുഞ്ഞാലി മരക്കാർ മമ്മുക്കാനേ കണ്ടു പടിക് COMING SOON,Not_offensive
Police ayittu ulla Pennumpilla eatha Oru police lookum ella Ayalkuttathila chechiyapola undu,Not_offensive
Boss mass  മോഹൻലാൽ ന്റെ അച്ഛൻ അല്ല മാമൂട്ടി ടെ അച്ഛൻ,Not_offensive
Madhuraraja teaser ethaanenkil trailer enthaayirikkum April kazhinjaal theater ok kaanumo aavo,Not_offensive
ജോഷിഈഈഈഈഈഈ ഓഓ ഊഊഓ നിങ്ങൾ ഇത് കാണുക... ഈ ഭൂഗോളത്തിൽ Why this man is called a Genius,Not_offensive
ജോഷി സാറിന്റെ പടം മലയാളിയക്ക് കാണാതിരിക്കാൻ കഴിയുമോ പൊളിയിക്കും,Not_offensive
കുറച്ചു സമയം കൊണ്ട്  Shylock ഇനെ  മുക്കി  BIGBROTHER 🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰#trending1,Not_offensive
Trailer pora  appo padam urappanu flop akkum,Not_offensive
3.06.-315  ettante step ethra vattam reply cheythu kandunnariyilla,Not_offensive
Njan mammootty fana but lalettan e onam thootuvarum polikkum,Not_offensive
Madhurarajakku madhuram theereyundakilla bhayankara kaypayirikkum njan panthayam vekkam,Not_offensive
Vijayude padathinde trailerinu okke kodukkunna support nammude malayalam movie kkum koduthoode,Not_offensive
Lalettan ishtam ഇത് 6 million cross cheyyum ennu urappullavarkk like adikkam,Not_offensive
നല്ല ഊള ടീസർ.. പടം ഇങ്ങനെ ആവാതിരുന്നാൽ ഭാഗ്യ,Not_offensive
Nayika liftil kudungunnu... Ellaarum oodi nadannu anveshikunnu....,Not_offensive
Trailer atra pora . Movie nannayirikumenu pratheekshikunu,Not_offensive
ഇൗ പ്രായത്തിലും എന്നാ ഒരു ലുക്കാണ് .മമ്മൂക്ക🤩,Not_offensive
Eattante pooram kazhinjaal...ikkayude kodiyett... Lalettanum mammookkaykkum pakaram vekkaaan aaarumillaaaa....,Not_offensive
ikka vannu makkale . iniyanu kaliyude idiyude vedi pooram,Not_offensive
എന്റെ പൊന്നു പാപ്പാൻ ചേട്ടാ ഒന്നു വേഗത്തിൽ വിട്യോ....ഈ ഓണത്തിന് എറക്കാനുള്ളേണ്.... <3 <3 :*,Not_offensive
Wow mamo fans tamilnadu i am waiting🤗🤗,not-malayalam
Trailor ഇറങ്ങിയപ്പോൾ ആണ് എന്താണ് movie എന്നത് എന്ന് കൃത്യം ആയി idea കിട്ടിയത്,Not_offensive
ബിഗ്ബ്രദ൪...       ഒരു ഫ്ലാഷ് ബാക്ക് സ്റ്റോറി ആവാ൯ ചാ൯സു കൂടുതലാണ്.. കമാ൯ഡോ ഒാഫീസറായ ലാലേട്ട൯റ കഴിഞകാല൦ മാസ്സ് സ്റ്റോറി ലവലിൽ പറയുന്നതാവു൦ എന്ന് എനിക്ക് തോന്നുന്നു ....  എന്തായാലു൦ സിനിമ തീ൪ച്ചയായു൦ ശ്രദ്ധിക്കപെടു൦..,Not_offensive
Poli Poli Poli Poli Poli Poli Poli Poli Poli 🥰,Not_offensive
0.05 യ്യോ...ലാ ചെക്കന്റെ ശബ്ദം കരിക്കിലെ ശംഭുന്റെത് പോലെ.,Not_offensive
eda rithwik nine njan theriparjilaloo ennitt ninte samkkaram kanichuvale f fff .valarthu dhosham nint ppp,Offensive_Untargetede
Gym Bossin Vidaa... Ittymaaniydde Margam Kali Ini Troll Lokam Bharikkum,Not_offensive
മമ്മൂട്ടി ആരാധകരെയും സിനിമാപ്രേമികളേയും ഒരു പോലെ ആവേശത്തിലാക്കിയ  മാമാങ്ക ചരിത്രത്തിലെ ഏറ്റവും മനോഹരമായ ഗാനം,Not_offensive
മുംബൈ ഫിലിം ഫെസ്റ്റിവലിൽ (മാമി) പ്രദർശിപ്പിച്ച ഗീതു മോഹൻദാസ് - നിവിൻ പോളി ചിത്രം മൂത്തോന്റെ റിവ്യൂ.,Not_offensive
ഞാൻ എനിക്ക് തോന്നിയ കാര്യം പറഞ്ഞോട്ടെ.. കൊല്ലരുത്. ഞാൻ ഒരു കട്ട നിവിൻ ഫാൻ ആണ്..from his very first movie. മൂത്തോൻ വരാൻ കാത്തു കാത്ത് ഇരിക്കുവരുന്നു.... പക്ഷെ trailer എന്നെ നിരാശപ്പെടുത്തി. നിവിൻ ൽ നിന്ന് പുതിയത് ആയും വ്യത്യസ്തം ആയും യാതൊരു അനുഭവവും എനിക് തോന്നിയില്ല.. മിഖായേൽ ന്റെയും കൊച്ചുണ്ണി ടെയും ഒക്കെ ഒരു ആവർത്തനം മാത്രം.. തുടർച്ച ആയുള്ള ഒരേ രീതി അഭിനയത്തിൽ നിന്നും ഗീതു മോഹൻദാസ് ന് എങ്കിലും നിവിനെ പുറത്തു കൊണ്ടു വരാൻ കഴിയും എന്ന ശുഭ പ്രതീക്ഷയിൽ ആയിരുന്നു.എല്ലാം തകർന്ന പോലെ... ഞാൻ കാത്തിരുന്നത് മൂത്തോനേ ആയിരുന്നു....നിവിനെ ആയിരുന്നില്ല.. so much disappointed.,Not_offensive
50 mins 159k views.. power of laletan,Not_offensive
Madhuraraja trailer kandathinu shesham Ivide vannavar Like adi,Not_offensive
എന്തായാലും ഇങ്ങനുള്ള പ്രേമം  പിടിച്ച പടങ്ങൾ അച്ചന്മാർക്കു സഹായം ആണ്,Not_offensive
Enik thonnunu idh telugu padam pole ayirkum enn......,Not_offensive
8 million avvum ennu orappullavar like addichha,Not_offensive
ith rajuvattante sambil lusipur adaar aitam varunnu MEAGA STAR MAMMUKKAYAN MAKKALE,Not_offensive
ഇത് നമ്മുടെ കോട്ടയം ആണല്ലോ. സത്യം പറഞ്ഞാൽ വടക്കുള്ള ചില സുഹൃത്തുക്കൾ ഈയടുത്തു  ചോദിച്ചു കോട്ടയം എന്ന് പറഞ്ഞാൽ പാലാ അല്ലെ എന്ന്.മലയാള സിനിമ നൽകിയ മറ്റൊരു തെറ്റായ അറിവാണ് ഇത്.  അവർ പലരും കോട്ടയം town എന്നൊരു സംഭവം കേട്ടിട്ടേ ഇല്ല. സത്യത്തിൽ കോട്ടയത്ത്‌ നിന്നു പാലയ്ക്ക് ഏകദേശം 30 കിലോമീറ്ററിനടുത്തു ദൂരം ഉണ്ട്.,Not_offensive
Raju ettanu inside  dressil kaanan oru bangi illannu eniku mathramano thonniye,Not_offensive
മമ്മൂക്ക fans എന്നെ ഒന്ന് subscribe   ചെയ്യോ plzzz,Not_offensive
Mammookka & Ajai vasudev!!!  Marana mass combination!!!  ഈ കോംബോ ഇഷ്ടമുള്ളവ൪ ഒരു ലൈക്ക് തന്നിട്ട് പോയാൽമതി,Not_offensive
പട തലവൻ വരവ് അറിയിച്ചു.... ഇനി അസുരന്റെ വരവ് 🤩🤩,Not_offensive
Paatu kandappo inganonnum aayirunallallo parannjathu,Not_offensive
Ahaa Jayettoo ijjathi mass look.. FDFS urapp,Not_offensive
MAMANGAM GETTING EXCELLENT REPORTS FROM AUDIANCE AND FAMILY,not-malayalam
Illuminati kurichu arinjitt trailer kanan vannavar .. ingot comon,Not_offensive
മഞ്ജുച്ചേച്ചി കട്ട ഫാൻസ്‌ ഇവിടെ കമ്മോൺ,Not_offensive
മാരകം ട്രെയ്‌ലർ പൊളിച്ചു ഇനി റിലീസ് ഡേ തകർക്കാം,Not_offensive
Idu entina trailer il padam motham kanikune?,Not_offensive
മരണ മാസ്സ് മമ്മൂക്ക പ്രതീക്ഷിച്ചതിലും അപ്പുറം വേറെ level,Not_offensive
Classinu class maassinu mass ijjaathi item raaju ettan      & mammookka,Not_offensive
ആരോ ഒരാൾ അല്ല എൻ്റെ ഏട്ടൻ  െെമ ബിഗ് ബ്രദർ,Not_offensive
Big B  ANNUM INNUM INI ENNUM  Mammookka Thenne aan,Not_offensive
Thokk,Not_offensive
Njn oru katta lalettan fan anu pakshe ithoru oru onanora item thaneyaa 🥰🥰katta waiting,Not_offensive
Ithu rajayude 3 strong Alla ettande Lucifer,Not_offensive
Ithinthe like kurayunnund kurachu mumb 184k undaayirunu ippol 117k ullu enthaa sambavam,Not_offensive
Ee cinimayil prithviraj mikkavarum guest roleil kaanum.,Not_offensive
BGM ejjathi...romancham...athine pati adhikam paranju kandilla,Not_offensive
10M adikkum ennullavar aadhyam like onn adiche,Not_offensive
Padam kand kilipoyitt ivede vannavar undo...      What a movie....,Not_offensive
Mavane kola kattile irukke ha.. ha... kollamma vidamatten. Ikka heavy Item polichu,Not_offensive
1:07 -il nammade arjun reddy sradhichathu njan maathramaano🤔🤔 btw mothathode adipoli aarunnu🤩🤩,Not_offensive
കിടുവേ ഒരിടവേളക്ക് ശേഷം ഒരു കിടിലൻ ത്രില്ലെർ മോളിവുഡിൽ ഒരുങ്ങുന്നു,Not_offensive
ഇജ്ജാതി bgm. Vere level. Pwlichuu. Thakarthy. Mammookkka.,Not_offensive
Ittimani kanaan arokke plan ittu.katta waiting,Not_offensive
